Date,Marketing Spend,Promo
28/04/2021,1060,Promotion Blue
29/04/2021,2059.545455,Promotion Blue
30/04/2021,1916.7,Promotion Blue
01/05/2021,805.6363636,No Promo
02/05/2021,1513.875,Promotion Red
03/05/2021,1024.818182,Promotion Red
04/05/2021,1533.888889,No Promo
05/05/2021,1119.6,No Promo
06/05/2021,2067.888889,Promotion Red
07/05/2021,,No Promo
08/05/2021,1121.875,No Promo
09/05/2021,871,No Promo
10/05/2021,NULL,NULL
11/05/2021,NULL,NULL
12/05/2021,NULL,NULL
